model,split,context,perturbation,scope,metric,value,status,higher_is_better,n_true,n_predicted,n_features,reference_source
baseline:control_mean,test,K562,CNN1+ETS2,all,mse,0.01468823507106055,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,CNN1+ETS2,all,edistance,7.055912339076649,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,CNN1+ETS2,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,CNN1+ETS2,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,CNN1+ETS2,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,CNN1+ETS2,all,mse,0.007620639646974106,ok,False,200,1,500,train_control
baseline:additive,test,K562,CNN1+ETS2,all,edistance,6.810751384300481,ok,False,200,1,500,train_control
baseline:additive,test,K562,CNN1+ETS2,all,delta_pearson,0.855798234983571,ok,True,200,1,500,train_control
baseline:additive,test,K562,CNN1+ETS2,all,direction_accuracy,0.824,ok,True,200,1,500,train_control
baseline:additive,test,K562,CNN1+ETS2,all,top_k_overlap,0.65,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,DUSP9+MAPK1,all,mse,0.010276404160478425,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,DUSP9+MAPK1,all,edistance,6.720430339862903,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,DUSP9+MAPK1,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,DUSP9+MAPK1,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,DUSP9+MAPK1,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,DUSP9+MAPK1,all,mse,0.03147221624445149,ok,False,200,1,500,train_control
baseline:additive,test,K562,DUSP9+MAPK1,all,edistance,7.773936154197495,ok,False,200,1,500,train_control
baseline:additive,test,K562,DUSP9+MAPK1,all,delta_pearson,0.8392141592185433,ok,True,200,1,500,train_control
baseline:additive,test,K562,DUSP9+MAPK1,all,direction_accuracy,0.764,ok,True,200,1,500,train_control
baseline:additive,test,K562,DUSP9+MAPK1,all,top_k_overlap,0.65,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,ELMSAN1+MAP2K3,all,mse,0.031261667245069055,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,ELMSAN1+MAP2K3,all,edistance,7.095350782985701,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,ELMSAN1+MAP2K3,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,ELMSAN1+MAP2K3,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,ELMSAN1+MAP2K3,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,ELMSAN1+MAP2K3,all,mse,0.006361019148918204,ok,False,200,1,500,train_control
baseline:additive,test,K562,ELMSAN1+MAP2K3,all,edistance,5.675043061687305,ok,False,200,1,500,train_control
baseline:additive,test,K562,ELMSAN1+MAP2K3,all,delta_pearson,0.915978372466262,ok,True,200,1,500,train_control
baseline:additive,test,K562,ELMSAN1+MAP2K3,all,direction_accuracy,0.874,ok,True,200,1,500,train_control
baseline:additive,test,K562,ELMSAN1+MAP2K3,all,top_k_overlap,0.6,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,FEV+MAP7D1,all,mse,0.056695539678700245,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,FEV+MAP7D1,all,edistance,9.294718465822704,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,FEV+MAP7D1,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,FEV+MAP7D1,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,FEV+MAP7D1,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,FEV+MAP7D1,all,mse,0.011120718992345555,ok,False,200,1,500,train_control
baseline:additive,test,K562,FEV+MAP7D1,all,edistance,7.584461417531767,ok,False,200,1,500,train_control
baseline:additive,test,K562,FEV+MAP7D1,all,delta_pearson,0.9110621044154052,ok,True,200,1,500,train_control
baseline:additive,test,K562,FEV+MAP7D1,all,direction_accuracy,0.802,ok,True,200,1,500,train_control
baseline:additive,test,K562,FEV+MAP7D1,all,top_k_overlap,0.8,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,KLF1+TGFBR2,all,mse,0.02774043428702255,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,KLF1+TGFBR2,all,edistance,7.170862435786567,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,KLF1+TGFBR2,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,KLF1+TGFBR2,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,KLF1+TGFBR2,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,KLF1+TGFBR2,all,mse,0.008850167660144136,ok,False,200,1,500,train_control
baseline:additive,test,K562,KLF1+TGFBR2,all,edistance,6.163245112623635,ok,False,200,1,500,train_control
baseline:additive,test,K562,KLF1+TGFBR2,all,delta_pearson,0.8977246266656741,ok,True,200,1,500,train_control
baseline:additive,test,K562,KLF1+TGFBR2,all,direction_accuracy,0.754,ok,True,200,1,500,train_control
baseline:additive,test,K562,KLF1+TGFBR2,all,top_k_overlap,0.75,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,MAP2K3+SLC38A2,all,mse,0.017266708976418837,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,MAP2K3+SLC38A2,all,edistance,6.512355891635739,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,MAP2K3+SLC38A2,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,MAP2K3+SLC38A2,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,MAP2K3+SLC38A2,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,MAP2K3+SLC38A2,all,mse,0.005655770339169665,ok,False,200,1,500,train_control
baseline:additive,test,K562,MAP2K3+SLC38A2,all,edistance,5.786195404830799,ok,False,200,1,500,train_control
baseline:additive,test,K562,MAP2K3+SLC38A2,all,delta_pearson,0.8937184892674985,ok,True,200,1,500,train_control
baseline:additive,test,K562,MAP2K3+SLC38A2,all,direction_accuracy,0.85,ok,True,200,1,500,train_control
baseline:additive,test,K562,MAP2K3+SLC38A2,all,top_k_overlap,0.5,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,PTPN12+PTPN9,all,mse,0.053675514132820984,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,PTPN12+PTPN9,all,edistance,8.704197489307653,ok,False,200,1,500,train_control
baseline:control_mean,test,K562,PTPN12+PTPN9,all,delta_pearson,,undefined_constant,True,200,1,500,train_control
baseline:control_mean,test,K562,PTPN12+PTPN9,all,direction_accuracy,0.0,ok,True,200,1,500,train_control
baseline:control_mean,test,K562,PTPN12+PTPN9,all,top_k_overlap,,no_rankable_effect,True,200,1,500,train_control
baseline:additive,test,K562,PTPN12+PTPN9,all,mse,0.005468160347179479,ok,False,200,1,500,train_control
baseline:additive,test,K562,PTPN12+PTPN9,all,edistance,6.845844355005436,ok,False,200,1,500,train_control
